i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train_train,mae_train_train,r_squared_test,adj_r_squared_test,rmse_train_test,mae_train_test
4441,-19.27039327927059,3.875536970187745,0.35737608242174296,-0.08065615666725429,0.7572564394832281,0.7337651271751534,21.405601427227648,16.223224166003536,0.766477424347907,0.6263638789566512,25.418660444530193,18.341676198597852
4442,-18.110173513862957,4.9984528792138025,0.3535581654259658,-0.08373768836680606,0.7622804924174712,0.7392753787804522,21.809015148932527,16.65575520849889,0.6546900807814444,0.447504129250311,23.93289807470878,18.376973081818978
4443,-15.55915324258542,1.335177763015263,0.36897635635380827,-0.07910901697208844,0.7950698249829867,0.7752378725619854,19.905149117999827,14.344950698481167,0.5902850266629971,0.3444560426607953,31.179682716195387,24.846050402246465
4444,-17.13336202051705,3.8366193017700967,0.3847831135230852,-0.0888778188799843,0.7015138194787444,0.6726280600734615,23.980154459751738,18.65298981127081,0.9704369834449502,0.9526991735119203,14.438917422237509,11.00830983926363
4445,-16.412932760788774,3.4027326508422937,0.378074326844212,-0.08584082945734367,0.7130829814272149,0.6861845109360163,22.830252751254992,17.059424165081825,0.8647031768350394,0.7632305594613189,19.4703096733378,16.780421634114578
4446,-19.411376807106024,4.526114873534057,0.3614283904707364,-0.08399300869101395,0.7504999483749453,0.7263547820886497,22.108095903903358,16.60744444994516,0.6943794628331773,0.5110071405330837,22.533413305898126,17.41505919071928
4447,-13.4144307266025,0.15772809210387032,0.3745207366751395,-0.07787300436831934,0.772731936390218,0.7507382528150778,21.380114914295678,15.952609065261296,0.5164724788417483,0.22635596614679732,28.471243337596366,19.625158310011486
4448,-14.21655896095955,3.9507041388919153,0.3554311706673141,-0.08299036714838703,0.7128953120718915,0.6851109874336874,22.126018831549914,17.02357689342176,0.8074177048086957,0.691868327693913,23.233362559310073,19.059088506883672
4449,-22.768186044095074,4.478883393310346,0.3734599542473225,-0.08544518640687981,0.76966568002861,0.7473752619668625,21.172114262204847,15.507737505655392,0.6803259430717478,0.4885215089147964,26.631520015945547,21.385989023885777
4450,-15.01089421540808,4.007010529062135,0.36192536651583734,-0.08454958473340046,0.7168052651583489,0.690255758766944,22.955620239099762,18.039446917086483,0.9086561822561731,0.8401483189483029,19.254076455136467,14.247062862349416
