i,intercept,reg_coef_1,reg_coef_2,reg_coef_3,r_squared_train,adj_r_squared_train,rmse_train,mae_train,r_squared_test,adj_r_squared_test,rmse_test,mae_test
19,-17.81826638092038,4.090460031591435,0.3637461290308054,-0.0840092353473681,0.7440215012915201,0.724330847544714,22.369778436208176,16.97867536789313,,,10.621013171410109,10.621013171410109
20,-17.802527190713146,4.556790911696564,0.36042847500827263,-0.08473408862410264,0.7554288733197341,0.7366157097289444,21.680358855014656,16.458249812987784,,,38.657030969033954,38.657030969033954
21,-16.542162644259452,3.716050675434823,0.36071131002231616,-0.08248148088901802,0.7360640035758876,0.7157612346201867,22.20568087238543,16.77210649214782,,,21.11204348411853,21.11204348411853
22,-16.687224163598035,3.6958104107753456,0.3619584103469044,-0.0826885889418012,0.7367589592340302,0.7165096484058787,22.26941780267129,16.820594011259608,,,17.813168317226477,17.813168317226477
23,-17.874995980582042,3.9239944744290427,0.36510050853804593,-0.08377136196889329,0.7408303376043278,0.7208942097277377,22.424745579746705,17.15408452528863,,,0.8862615154050815,0.8862615154050815
24,-17.221877944380818,3.798314610469073,0.3633900542356791,-0.0831804716096265,0.7368409395438879,0.7165979348934177,22.381540916833885,16.984524000312632,,,9.43688172137897,9.43688172137897
25,-17.296323407527748,3.812587347135281,0.3635893970556351,-0.08324896160134909,0.7369477694311541,0.7167129824643199,22.391658155762038,17.007764220980867,,,8.270563334615412,8.270563334615412
26,-18.195705923455765,3.9543039348537605,0.3664399064858888,-0.08408949065802157,0.7403419628900172,0.7203682677277108,22.402148381955246,17.009680269002324,,,6.825952824141574,6.825952824141574
27,-19.122825835124242,4.055397882317273,0.37002616194299964,-0.08497512545651587,0.7488296379363946,0.7295088408545787,22.14260073792971,16.59605363541903,,,23.861938631062984,23.861938631062984
28,-17.692085230697568,3.8993887041328312,0.3644918171017792,-0.08360840508846906,0.737744671029765,0.7175711841859008,22.422227029092202,17.12738959738004,,,2.4281629228280863,2.4281629228280863
29,-17.38876822255911,3.866314758357737,0.3633185359954403,-0.08331866037044316,0.7368725184257016,0.7166319429199863,22.393542106635188,17.016200263176238,,,8.001664452253,8.001664452253
30,-18.527637743682757,3.990498064192546,0.3677238744890521,-0.08440656978340844,0.7428299329979254,0.7230476201516121,22.342608073727373,16.861591721176207,,,12.925256384644308,12.925256384644308
31,-18.390286645657792,3.9755211830868404,0.3671925773842948,-0.08427536462807589,0.7417259172242956,0.7218586800877029,22.37172520886646,16.922869740966327,,,10.401406635470757,10.401406635470757
32,-17.823713366304837,3.913741548525805,0.3650009768271715,-0.08373414336232943,0.7382857626665614,0.7181538982562969,22.425134339674244,17.175641572600558,,,0.009473579870093118,0.009473579870093118
33,-17.87522002806418,3.9193578789404433,0.3652002132414554,-0.08378334529557913,0.7385241149670364,0.7184105853491161,22.424701501582458,17.15266231517926,,,0.9369700760699722,0.9369700760699722
34,-16.564661634409358,3.7764534717234985,0.3601307533668974,-0.08253142943844827,0.7372036327389511,0.7169885275650243,22.1594290671127,16.735551943527458,,,23.14476294729424,23.14476294729424
35,-16.55321570957395,3.7752053982980214,0.3600864786081677,-0.0825204956755039,0.7372367789984953,0.717024223536841,22.154548477087555,16.7323149072951,,,23.355083759725353,23.355083759725353
36,-16.802276243006947,3.717868276532219,0.36226648561410874,-0.08279443711082685,0.7366740788244279,0.7164182387339992,22.299421316089894,16.853533665637098,,,16.010676264955528,16.010676264955528
37,-17.928309274743974,3.9701097932991702,0.3628538657469985,-0.08327633972262721,0.7364264979704016,0.7161516131988941,22.400751375849097,16.991743170994226,,,7.08610325977957,7.08610325977957
38,-17.98459015433021,3.784937625629527,0.3755811802060231,-0.0859718560478776,0.7369628976381507,0.7167292743795469,22.228947652805463,16.769402994124754,,,20.798270226019113,20.798270226019113
39,-18.01115140868728,3.763594018454899,0.3773332901961574,-0.08634241554554478,0.7397550724402066,0.719736231858684,22.158151722899582,16.702695167829837,,,24.24316876514507,24.24316876514507
40,-18.002297657234934,3.770708554179779,0.3767492535327793,-0.08621889571298907,0.7388052572724022,0.7187133539856638,22.18297933957678,16.72493110992814,,,23.09486925210311,23.09486925210311
41,-18.03771266304436,3.74225041128027,0.379085400186292,-0.08671297504321213,0.7427189671936384,0.722928118516226,22.076244659856048,16.635987341534907,,,27.688067304271115,27.688067304271115
42,-18.4812177770912,4.053124135012264,0.3602186162534126,-0.08258276796891756,0.7472113715694704,0.7277660924594296,21.896836057077746,16.34696989304458,,,32.28273997309158,32.28273997309158
43,-18.560825898261413,3.8500770398877338,0.3615556698338912,-0.08232028426859395,0.7599702491934597,0.7415064222083412,21.20273007787557,15.923592920792256,,,48.545031236920245,48.545031236920245
44,-17.70324281313777,3.7910186882565426,0.3723254930221166,-0.08534145975067225,0.744822898316279,0.7251938904944544,22.21708358185108,16.754190728789784,,,20.782747197617425,20.782747197617425
